Assembly No,Assembly Name,Panchayat (मुख्य शहर/ गाँव),Booth No,Booth Name,Total voters,Male voters,Female voters
72,सिंहेश्वर,लक्ष्मीपुर भगवती,244,"स्त्री मध्य विद्यालय, लक्ष्मीपुर भगवती (पूर्व) बायाँ भाग",1021,527,494
72,सिंहेश्वर,,245,"प्राथमिक विद्यालय, रहटा रामनगर बाँया भाग",0,359,322
72,सिंहेश्वर,मंगरवाडा,246,"प्राथमिक विद्यालय रहटा रामनगर, मध्य भाग",652,332,320
72,सिंहेश्वर,मंगरवाडा,247,"प्राथमिक विद्यालय रहटा रामनगर, दायाँ भाग",870,473,397
72,सिंहेश्वर,मंगरवाडा,248,"उत्क्रमित उच्चत्तर माध्यमिक विद्यालय, सुन्दर नगर हरिजन बॉया",709,349,360
72,सिंहेश्वर,मंगरवाडा,249,"उत्क्रमित उच्चत्तर माध्यमिक विद्यालय, सुन्दर नगर हरिजन बॉया",738,382,356
72,सिंहेश्वर,बैरबन्ना,25,"उत्क्रमित मध्य विद्यालय, बैरबन्ना मध्य भाग",876,460,416
72,सिंहेश्वर,मंगरवाडा,250,"उत्क्रमित उच्चत्तर माध्यमिक विद्यालय, सुन्दर नगर हरिजन दाँया",596,323,272
72,सिंहेश्वर,मंगरवाडा,251,"उत्क्रमित उच्चत्तर माध्यमिक विद्यालय, सुन्दर नगर हरिजन दाँया",567,305,262
72,सिंहेश्वर,मंगरवाडा,252,"उत्क्रमित उर्दू मध्य विद्यालय, मंगरवाडा, दायां भाग",966,515,451
72,सिंहेश्वर,मंगरवाडा,253,"उत्क्रमित उर्दू मध्य विद्यालय, मंगरवाडा, बायां भाग",894,471,423
72,सिंहेश्वर,मंगरवाडा,254,"मध्य विद्यालय, अगाढ़ दाया भाग",655,342,313
72,सिंहेश्वर,मंगरवाडा,255,"मध्य विद्यालय, अगाढ़ बायाँ भाग",667,358,309
72,सिंहेश्वर,बेलासदी,256,"उत्क्रमित मध्य विद्यालय, बेलासदी, पश्चिम भाग बाया",880,479,401
72,सिंहेश्वर,बेलासदी,257,"उत्क्रमित मध्य विद्यालय, बेलासदी, पूरव भाग",883,484,399
72,सिंहेश्वर,बेलासदी,258,"उत्क्रमित मध्य विद्यालय, बेलासदी, मध्य भाग",808,458,350
72,सिंहेश्वर,घुड्रदौल,259,"उत्क्रमित मध्य विद्यालय, घुडदौल दाया भाग",1072,534,538
72,सिंहेश्वर,बैहरी,26,"मध्य विद्यालय, बैहरी",999,510,489
72,सिंहेश्वर,बेलासदी मिलिक,260,"उत्क्रमित मध्य विद्यालय, मधुबनी",910,490,420
72,सिंहेश्वर,बेलासदी,261,"मध्य विद्यालय, ईसराइन कला",728,385,343
72,सिंहेश्वर,बेलासदी,262,"नवसजीत प्राथमिक विद्यालय, अंडीपट्टी, दायां भाग",920,480,440
72,सिंहेश्वर,बेलासदी,263,"नवसजीत प्राथमिक विद्यालय, अंडीपट्टी, बायां भाग",835,446,389
72,सिंहेश्वर,गुड्रिया,264,"कन्या प्राथमिक विद्यालय, गढ़िया, दायां भाग",876,474,402
72,सिंहेश्वर,गुड्रिया,265,"कन्या प्राथमिक विद्यालय, गढ़िया, बायां भाग",919,462,457
72,सिंहेश्वर,सिहपुर,266,"प्रोजेक्ट कन्या उच्च विद्यालय कुमारखण्ड, अवस्थित सिंहपुर",809,407,402
72,सिंहेश्वर,सिहपुर,267,"प्रोजेक्ट कन्या उच्च विद्यालय, कुमारखंड अवस्थित सिंहपुर, गढिया, वायाँ भाग पूरब",770,409,361
72,सिंहेश्वर,सिहपुर,268,"प्रोजेक्ट कन्या उच्च विद्यालय कुमारखण्ड, अवस्थित सिंहपुर गढिया,",710,328,382
72,सिंहेश्वर,सिहपुर,269,"मध्य विद्यालय, गुड़िया, दायाँ भाग",899,477,422
72,सिंहेश्वर,बुढावे,27,उत्क्रमित मध्य विद्यालय बुढ़ावे बायाँ भाग उत्तर,1082,542,540
72,सिंहेश्वर,सिहपुर,270,"मध्य विद्यालय, गुड़िया, बायाँ भाग",926,472,454
72,सिंहेश्वर,सिक्राहट्टी,271,"उत्क्रमित मध्य विद्यालय, सिकरहटी दाया भाग",1104,583,521
72,सिंहेश्वर,सिक्राहट्टी,272,"उत्क्रमित मध्य विद्यालय, सिकरहटी, बायां भाग",1108,504,604
72,सिंहेश्वर,कुमारखंड,273,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, रघुनियाँ, दायाँ भाग",1005,533,472
72,सिंहेश्वर,कुमारखंड,274,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, रघुनियाँ, मध्य भाग",1032,526,506
72,सिंहेश्वर,कुमारखंड,275,"उत्क्रमित उच्चतर माध्यमिक विद्यालय, रघुनियाँ, बायाँ भाग",1078,576,502
72,सिंहेश्वर,कुमारखंड,276,"मध्य विद्यालय, रामगंज, दायां भाग",790,393,397
72,सिंहेश्वर,कुमारखंड,277,"मध्य विद्यालय, रामगंज, बाया भाग",787,412,375
72,सिंहेश्वर,कुमारखंड,278,"आदर्श सिंहेश्वर मध्य विद्यालय, कुमारखंड दायाँ भाग पूरब",808,435,373
72,सिंहेश्वर,कुमारखंड,279,"आदर्श सिंहेश्वर मध्य विद्यालय, कुमारखंड मध्य भाग",705,359,346
72,सिंहेश्वर,बुढावे,28,"उत्क्रमित मध्य विद्यालय, बुढावे दायाँ भाग",1033,547,486
72,सिंहेश्वर,कुमारखंड,280,"आदर्श सिंहेश्वर मध्य विद्यालय, कुमारखंड मध्य भाग उत्तर",743,373,370
72,सिंहेश्वर,कुमारखंड,281,"आदर्श सिंहेश्वर मध्य विद्यालय, कुमारखंड बायाँ भाग",979,515,464
72,सिंहेश्वर,श्रीपुर मिलिक,282,"नवसृजित प्राथमिक विद्यालय, यादव टोला भतनी, दाँया भाग",850,452,398
72,सिंहेश्वर,श्रीपुर मिलिक,283,"नवसृजित प्राथमिक विद्यालय, यादव टोला भतनी, बॉया भाग",1001,529,472
72,सिंहेश्वर,बरहकुरवा,284,"उत्क्रमित कन्या मध्य विद्यालय, बरहकुरवा दाया भाग",1115,591,524
72,सिंहेश्वर,श्रीपुर मिलिक,285,"उत्क्रमित उच्चत्तर माध्यमिक विद्यालय, बरहकुरवा, दाया",684,348,336
72,सिंहेश्वर,श्रीपुर मिलिक,286,"उत्क्रमित उच्चत्तर माध्यमिक विद्यालय, बरहकुरवा, बाया",692,368,324
72,सिंहेश्वर,श्रीपुर मिलिक,287,"उत्क्रमित मध्य विद्यालय, टेंगराहा पूर्व भाग",765,402,363
72,सिंहेश्वर,श्रीपुर मिलिक,288,"उत्क्रमित मध्य विद्यालय, सिकियाहा दाया भाग",695,367,328
